cell_id,donor,cell_type,species,batch_nn,dataset,leiden
celseq2_D29.6_34,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.6_38,D29,alpha,human,celseq2,celseq2,6
celseq2_D29.6_39,D29,beta,human,celseq2,celseq2,3
celseq2_D29.6_40,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.6_41,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.6_42,D29,beta,human,celseq2,celseq2,8
celseq2_D29.6_43,D29,beta,human,celseq2,celseq2,3
celseq2_D29.6_44,D29,delta,human,celseq2,celseq2,5
celseq2_D29.6_46,D29,delta,human,celseq2,celseq2,5
celseq2_D29.6_48,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.6_50,D29,beta,human,celseq2,celseq2,3
celseq2_D29.6_51,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.6_52,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.6_53,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.6_54,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.6_55,D29,gamma,human,celseq2,celseq2,10
celseq2_D29.6_56,D29,beta,human,celseq2,celseq2,3
celseq2_D29.6_57,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.6_58,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.6_59,D29,beta,human,celseq2,celseq2,3
celseq2_D29.6_60,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.6_62,D29,beta,human,celseq2,celseq2,3
celseq2_D29.6_63,D29,delta,human,celseq2,celseq2,5
celseq2_D29.6_64,D29,alpha,human,celseq2,celseq2,6
celseq2_D29.6_65,D29,alpha,human,celseq2,celseq2,6
celseq2_D29.6_66,D29,delta,human,celseq2,celseq2,5
celseq2_D29.6_67,D29,beta,human,celseq2,celseq2,3
celseq2_D29.6_69,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.6_70,D29,beta,human,celseq2,celseq2,0
celseq2_D29.6_72,D29,beta,human,celseq2,celseq2,3
celseq2_D29.6_77,D29,beta,human,celseq2,celseq2,3
celseq2_D29.6_78,D29,alpha,human,celseq2,celseq2,9
celseq2_D29.6_79,D29,beta,human,celseq2,celseq2,3
celseq2_D29.6_80,D29,beta,human,celseq2,celseq2,3
celseq2_D29.6_82,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.6_83,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.6_84,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.6_86,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.6_87,D29,delta,human,celseq2,celseq2,5
celseq2_D29.6_88,D29,gamma,human,celseq2,celseq2,10
celseq2_D29.6_89,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.6_90,D29,alpha,human,celseq2,celseq2,6
celseq2_D29.6_91,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.6_94,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.7_1,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.7_2,D29,beta,human,celseq2,celseq2,3
celseq2_D29.7_3,D29,beta,human,celseq2,celseq2,3
celseq2_D29.7_4,D29,delta,human,celseq2,celseq2,5
celseq2_D29.7_5,D29,acinar,human,celseq2,celseq2,2
celseq2_D29.7_6,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.7_8,D29,gamma,human,celseq2,celseq2,10
celseq2_D29.7_12,D29,beta,human,celseq2,celseq2,3
celseq2_D29.7_14,D29,beta,human,celseq2,celseq2,3
celseq2_D29.7_17,D29,beta,human,celseq2,celseq2,3
celseq2_D29.7_18,D29,endothelial,human,celseq2,celseq2,13
celseq2_D29.7_19,D29,delta,human,celseq2,celseq2,5
celseq2_D29.7_20,D29,ductal,human,celseq2,celseq2,1
celseq2_D29.7_21,D29,delta,human,celseq2,celseq2,5
celseq2_D29.7_23,D29,gamma,human,celseq2,celseq2,10
celseq2_D29.7_25,D29,alpha,human,celseq2,celseq2,6
celseq2_D29.7_28,D29,delta,human,celseq2,celseq2,5
celseq2_D29.7_30,D29,gamma,human,celseq2,celseq2,10
celseq2_D29.7_31,D29,beta,human,celseq2,celseq2,3
celseq2_D29.7_32,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.7_33,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.7_34,D29,gamma,human,celseq2,celseq2,10
celseq2_D29.7_35,D29,gamma,human,celseq2,celseq2,10
celseq2_D29.7_36,D29,gamma,human,celseq2,celseq2,10
celseq2_D29.7_37,D29,beta,human,celseq2,celseq2,3
celseq2_D29.7_38,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.7_39,D29,beta,human,celseq2,celseq2,3
celseq2_D29.7_40,D29,gamma,human,celseq2,celseq2,10
celseq2_D29.7_41,D29,beta,human,celseq2,celseq2,0
celseq2_D29.7_42,D29,beta,human,celseq2,celseq2,3
celseq2_D29.7_43,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.7_44,D29,alpha,human,celseq2,celseq2,9
celseq2_D29.7_45,D29,beta,human,celseq2,celseq2,3
celseq2_D29.7_46,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.7_47,D29,alpha,human,celseq2,celseq2,9
celseq2_D29.7_48,D29,beta,human,celseq2,celseq2,3
celseq2_D29.7_49,D29,acinar,human,celseq2,celseq2,2
celseq2_D29.7_50,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.7_51,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.7_52,D29,beta,human,celseq2,celseq2,3
celseq2_D29.7_54,D29,delta,human,celseq2,celseq2,5
celseq2_D29.7_55,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.7_56,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.7_57,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.7_58,D29,beta,human,celseq2,celseq2,3
celseq2_D29.7_59,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.7_60,D29,gamma,human,celseq2,celseq2,10
celseq2_D29.7_61,D29,gamma,human,celseq2,celseq2,10
celseq2_D29.7_62,D29,beta,human,celseq2,celseq2,3
celseq2_D29.7_63,D29,delta,human,celseq2,celseq2,5
celseq2_D29.7_64,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.7_65,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.7_68,D29,beta,human,celseq2,celseq2,3
celseq2_D29.7_69,D29,beta,human,celseq2,celseq2,3
celseq2_D29.7_70,D29,alpha,human,celseq2,celseq2,6
celseq2_D29.7_71,D29,delta,human,celseq2,celseq2,10
celseq2_D29.7_72,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.7_73,D29,alpha,human,celseq2,celseq2,8
celseq2_D29.7_74,D29,beta,human,celseq2,celseq2,3
celseq2_D29.7_75,D29,beta,human,celseq2,celseq2,0
celseq2_D29.7_76,D29,alpha,human,celseq2,celseq2,6
celseq2_D29.7_77,D29,gamma,human,celseq2,celseq2,10
celseq2_D29.7_78,D29,delta,human,celseq2,celseq2,5
celseq2_D29.7_79,D29,delta,human,celseq2,celseq2,5
celseq2_D29.7_80,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.7_81,D29,delta,human,celseq2,celseq2,5
celseq2_D29.7_82,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.7_84,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.7_85,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.7_86,D29,beta,human,celseq2,celseq2,3
celseq2_D29.7_87,D29,beta,human,celseq2,celseq2,3
celseq2_D29.7_90,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.7_92,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.7_93,D29,gamma,human,celseq2,celseq2,10
celseq2_D29.7_94,D29,gamma,human,celseq2,celseq2,10
celseq2_D29.8_2,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.8_4,D29,stellate,human,celseq2,celseq2,11
celseq2_D29.8_7,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.8_8,D29,beta,human,celseq2,celseq2,3
celseq2_D29.8_10,D29,delta,human,celseq2,celseq2,5
celseq2_D29.8_11,D29,beta,human,celseq2,celseq2,3
celseq2_D29.8_12,D29,beta,human,celseq2,celseq2,3
celseq2_D29.8_13,D29,delta,human,celseq2,celseq2,5
celseq2_D29.8_14,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.8_15,D29,alpha,human,celseq2,celseq2,8
celseq2_D29.8_18,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.8_19,D29,gamma,human,celseq2,celseq2,10
celseq2_D29.8_20,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.8_23,D29,beta,human,celseq2,celseq2,3
celseq2_D29.8_25,D29,alpha,human,celseq2,celseq2,6
celseq2_D29.8_27,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.8_29,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.8_30,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.8_32,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.8_33,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.8_34,D29,beta,human,celseq2,celseq2,3
celseq2_D29.8_39,D29,alpha,human,celseq2,celseq2,6
celseq2_D29.8_45,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.8_46,D29,delta,human,celseq2,celseq2,5
celseq2_D29.8_49,D29,beta,human,celseq2,celseq2,3
celseq2_D29.8_50,D29,beta,human,celseq2,celseq2,3
celseq2_D29.8_51,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.8_52,D29,stellate,human,celseq2,celseq2,11
celseq2_D29.8_54,D29,delta,human,celseq2,celseq2,5
celseq2_D29.8_55,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.8_56,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.8_59,D29,alpha,human,celseq2,celseq2,6
celseq2_D29.8_60,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.8_62,D29,delta,human,celseq2,celseq2,5
celseq2_D29.8_63,D29,ductal,human,celseq2,celseq2,1
celseq2_D29.8_64,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.8_65,D29,alpha,human,celseq2,celseq2,6
celseq2_D29.8_66,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.8_67,D29,immune,human,celseq2,celseq2,16
celseq2_D29.8_72,D29,delta,human,celseq2,celseq2,5
celseq2_D29.8_73,D29,delta,human,celseq2,celseq2,5
celseq2_D29.8_74,D29,beta,human,celseq2,celseq2,3
celseq2_D29.8_75,D29,ductal,human,celseq2,celseq2,1
celseq2_D29.8_76,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.8_77,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.8_79,D29,delta,human,celseq2,celseq2,5
celseq2_D29.8_80,D29,delta,human,celseq2,celseq2,5
celseq2_D29.8_81,D29,delta,human,celseq2,celseq2,5
celseq2_D29.8_82,D29,alpha,human,celseq2,celseq2,4
celseq2_D29.8_83,D29,delta,human,celseq2,celseq2,5
celseq2_D29.8_84,D29,alpha,human,celseq2,celseq2,6
celseq2_D29.8_86,D29,alpha,human,celseq2,celseq2,8
celseq2_D29.8_87,D29,beta,human,celseq2,celseq2,3
celseq2_D29.8_88,D29,ductal,human,celseq2,celseq2,1
celseq2_D29.8_90,D29,beta,human,celseq2,celseq2,3
celseq2_D29.8_91,D29,beta,human,celseq2,celseq2,3
celseq2_D29.8_94,D29,beta,human,celseq2,celseq2,3
celseq2_D31.1_1,D31,beta,human,celseq2,celseq2,3
celseq2_D31.1_2,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.1_4,D31,alpha,human,celseq2,celseq2,6
celseq2_D31.1_5,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.1_6,D31,delta,human,celseq2,celseq2,5
celseq2_D31.1_7,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.1_8,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.1_9,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.1_10,D31,beta,human,celseq2,celseq2,3
celseq2_D31.1_11,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.1_12,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.1_14,D31,beta,human,celseq2,celseq2,3
celseq2_D31.1_15,D31,delta,human,celseq2,celseq2,5
celseq2_D31.1_16,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.1_17,D31,alpha,human,celseq2,celseq2,6
celseq2_D31.1_19,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.1_20,D31,beta,human,celseq2,celseq2,3
celseq2_D31.1_21,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.1_22,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.1_23,D31,stellate,human,celseq2,celseq2,11
celseq2_D31.1_24,D31,alpha,human,celseq2,celseq2,6
celseq2_D31.1_25,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.1_26,D31,beta,human,celseq2,celseq2,3
celseq2_D31.1_27,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.1_28,D31,beta,human,celseq2,celseq2,3
celseq2_D31.1_29,D31,beta,human,celseq2,celseq2,3
celseq2_D31.1_32,D31,alpha,human,celseq2,celseq2,6
celseq2_D31.1_33,D31,delta,human,celseq2,celseq2,5
celseq2_D31.1_34,D31,beta,human,celseq2,celseq2,3
celseq2_D31.1_35,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.1_36,D31,stellate,human,celseq2,celseq2,11
celseq2_D31.1_38,D31,beta,human,celseq2,celseq2,5
celseq2_D31.1_40,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.1_41,D31,endothelial,human,celseq2,celseq2,13
celseq2_D31.1_42,D31,alpha,human,celseq2,celseq2,8
celseq2_D31.1_43,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.1_44,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.1_45,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.1_46,D31,alpha,human,celseq2,celseq2,8
celseq2_D31.1_47,D31,beta,human,celseq2,celseq2,3
celseq2_D31.1_48,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.1_49,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.1_50,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.1_51,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.1_52,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.1_53,D31,beta,human,celseq2,celseq2,3
celseq2_D31.1_54,D31,beta,human,celseq2,celseq2,3
celseq2_D31.1_55,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.1_56,D31,beta,human,celseq2,celseq2,3
celseq2_D31.1_58,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.1_59,D31,alpha,human,celseq2,celseq2,6
celseq2_D31.1_60,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.1_61,D31,alpha,human,celseq2,celseq2,6
celseq2_D31.1_62,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.1_63,D31,beta,human,celseq2,celseq2,3
celseq2_D31.1_64,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.1_65,D31,gamma,human,celseq2,celseq2,10
celseq2_D31.1_66,D31,alpha,human,celseq2,celseq2,8
celseq2_D31.1_67,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.1_68,D31,beta,human,celseq2,celseq2,3
celseq2_D31.1_69,D31,alpha,human,celseq2,celseq2,6
celseq2_D31.1_70,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.1_72,D31,ductal,human,celseq2,celseq2,15
celseq2_D31.1_73,D31,beta,human,celseq2,celseq2,3
celseq2_D31.1_74,D31,beta,human,celseq2,celseq2,3
celseq2_D31.1_75,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.1_76,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.1_77,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.1_78,D31,alpha,human,celseq2,celseq2,7
celseq2_D31.1_79,D31,gamma,human,celseq2,celseq2,10
celseq2_D31.1_80,D31,gamma,human,celseq2,celseq2,10
celseq2_D31.1_81,D31,gamma,human,celseq2,celseq2,10
celseq2_D31.1_82,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.1_83,D31,ductal,human,celseq2,celseq2,15
celseq2_D31.1_84,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.1_85,D31,alpha,human,celseq2,celseq2,6
celseq2_D31.1_86,D31,beta,human,celseq2,celseq2,3
celseq2_D31.1_87,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.1_88,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.1_89,D31,alpha,human,celseq2,celseq2,8
celseq2_D31.1_90,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.1_91,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.1_92,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.1_93,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.2_1,D31,beta,human,celseq2,celseq2,3
celseq2_D31.2_2,D31,alpha,human,celseq2,celseq2,8
celseq2_D31.2_3,D31,beta,human,celseq2,celseq2,3
celseq2_D31.2_4,D31,stellate,human,celseq2,celseq2,11
celseq2_D31.2_5,D31,delta,human,celseq2,celseq2,5
celseq2_D31.2_6,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.2_7,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.2_9,D31,alpha,human,celseq2,celseq2,6
celseq2_D31.2_10,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.2_11,D31,alpha,human,celseq2,celseq2,6
celseq2_D31.2_12,D31,delta,human,celseq2,celseq2,5
celseq2_D31.2_13,D31,alpha,human,celseq2,celseq2,6
celseq2_D31.2_14,D31,alpha,human,celseq2,celseq2,7
celseq2_D31.2_15,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.2_17,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.2_18,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.2_19,D31,stellate,human,celseq2,celseq2,11
celseq2_D31.2_20,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.2_21,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.2_22,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.2_23,D31,beta,human,celseq2,celseq2,3
celseq2_D31.2_24,D31,stellate,human,celseq2,celseq2,11
celseq2_D31.2_26,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.2_27,D31,beta,human,celseq2,celseq2,3
celseq2_D31.2_28,D31,beta,human,celseq2,celseq2,3
celseq2_D31.2_29,D31,delta,human,celseq2,celseq2,5
celseq2_D31.2_30,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.2_31,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.2_32,D31,alpha,human,celseq2,celseq2,6
celseq2_D31.2_33,D31,alpha,human,celseq2,celseq2,6
celseq2_D31.2_34,D31,beta,human,celseq2,celseq2,3
celseq2_D31.2_35,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.2_36,D31,delta,human,celseq2,celseq2,5
celseq2_D31.2_37,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.2_38,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.2_39,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.2_40,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.2_41,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.2_43,D31,beta,human,celseq2,celseq2,0
celseq2_D31.2_44,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.2_45,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.2_46,D31,beta,human,celseq2,celseq2,0
celseq2_D31.2_47,D31,beta,human,celseq2,celseq2,3
celseq2_D31.2_48,D31,beta,human,celseq2,celseq2,3
celseq2_D31.2_49,D31,beta,human,celseq2,celseq2,3
celseq2_D31.2_50,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.2_52,D31,beta,human,celseq2,celseq2,0
celseq2_D31.2_53,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.2_54,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.2_55,D31,gamma,human,celseq2,celseq2,10
celseq2_D31.2_56,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.2_57,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.2_58,D31,beta,human,celseq2,celseq2,3
celseq2_D31.2_59,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.2_60,D31,gamma,human,celseq2,celseq2,10
celseq2_D31.2_61,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.2_62,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.2_63,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.2_64,D31,alpha,human,celseq2,celseq2,7
celseq2_D31.2_65,D31,beta,human,celseq2,celseq2,3
celseq2_D31.2_66,D31,beta,human,celseq2,celseq2,3
celseq2_D31.2_67,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.2_68,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.2_69,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.2_70,D31,delta,human,celseq2,celseq2,5
celseq2_D31.2_71,D31,beta,human,celseq2,celseq2,3
celseq2_D31.2_72,D31,beta,human,celseq2,celseq2,3
celseq2_D31.2_73,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.2_74,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.2_75,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.2_76,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.2_77,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.2_78,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.2_79,D31,delta,human,celseq2,celseq2,5
celseq2_D31.2_80,D31,stellate,human,celseq2,celseq2,11
celseq2_D31.2_81,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.2_82,D31,alpha,human,celseq2,celseq2,8
celseq2_D31.2_83,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.2_84,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.2_85,D31,stellate,human,celseq2,celseq2,11
celseq2_D31.2_86,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.2_87,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.2_89,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.2_91,D31,stellate,human,celseq2,celseq2,11
celseq2_D31.2_92,D31,beta,human,celseq2,celseq2,3
celseq2_D31.2_93,D31,alpha,human,celseq2,celseq2,6
celseq2_D31.2_94,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.3_1,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.3_2,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.3_3,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.3_4,D31,beta,human,celseq2,celseq2,3
celseq2_D31.3_5,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.3_10,D31,beta,human,celseq2,celseq2,3
celseq2_D31.3_12,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.3_13,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.3_14,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.3_15,D31,stellate,human,celseq2,celseq2,11
celseq2_D31.3_16,D31,delta,human,celseq2,celseq2,5
celseq2_D31.3_17,D31,beta,human,celseq2,celseq2,3
celseq2_D31.3_18,D31,alpha,human,celseq2,celseq2,7
celseq2_D31.3_21,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.3_22,D31,delta,human,celseq2,celseq2,3
celseq2_D31.3_23,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.3_24,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.3_25,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.3_26,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.3_27,D31,alpha,human,celseq2,celseq2,6
celseq2_D31.3_28,D31,alpha,human,celseq2,celseq2,6
celseq2_D31.3_29,D31,alpha,human,celseq2,celseq2,8
celseq2_D31.3_30,D31,gamma,human,celseq2,celseq2,10
celseq2_D31.3_32,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.3_33,D31,beta,human,celseq2,celseq2,3
celseq2_D31.3_35,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.3_36,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.3_37,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.3_39,D31,alpha,human,celseq2,celseq2,6
celseq2_D31.3_40,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.3_41,D31,delta,human,celseq2,celseq2,5
celseq2_D31.3_42,D31,delta,human,celseq2,celseq2,5
celseq2_D31.3_43,D31,beta,human,celseq2,celseq2,3
celseq2_D31.3_45,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.3_46,D31,alpha,human,celseq2,celseq2,6
celseq2_D31.3_47,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.3_48,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.3_50,D31,beta,human,celseq2,celseq2,3
celseq2_D31.3_51,D31,gamma,human,celseq2,celseq2,10
celseq2_D31.3_52,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.3_53,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.3_54,D31,gamma,human,celseq2,celseq2,10
celseq2_D31.3_55,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.3_56,D31,gamma,human,celseq2,celseq2,10
celseq2_D31.3_57,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.3_59,D31,stellate,human,celseq2,celseq2,11
celseq2_D31.3_60,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.3_61,D31,gamma,human,celseq2,celseq2,10
celseq2_D31.3_62,D31,delta,human,celseq2,celseq2,5
celseq2_D31.3_63,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.3_64,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.3_65,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.3_66,D31,beta,human,celseq2,celseq2,3
celseq2_D31.3_67,D31,delta,human,celseq2,celseq2,5
celseq2_D31.3_68,D31,beta,human,celseq2,celseq2,3
celseq2_D31.3_69,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.3_70,D31,alpha,human,celseq2,celseq2,6
celseq2_D31.3_71,D31,endothelial,human,celseq2,celseq2,13
celseq2_D31.3_72,D31,gamma,human,celseq2,celseq2,10
celseq2_D31.3_73,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.3_75,D31,beta,human,celseq2,celseq2,3
celseq2_D31.3_76,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.3_77,D31,gamma,human,celseq2,celseq2,10
celseq2_D31.3_78,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.3_79,D31,alpha,human,celseq2,celseq2,6
celseq2_D31.3_80,D31,beta,human,celseq2,celseq2,3
celseq2_D31.3_81,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.3_82,D31,ductal,human,celseq2,celseq2,1
celseq2_D31.3_83,D31,beta,human,celseq2,celseq2,3
celseq2_D31.3_84,D31,alpha,human,celseq2,celseq2,8
celseq2_D31.3_85,D31,alpha,human,celseq2,celseq2,6
celseq2_D31.3_86,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.3_87,D31,beta,human,celseq2,celseq2,3
celseq2_D31.3_88,D31,delta,human,celseq2,celseq2,5
celseq2_D31.3_89,D31,acinar,human,celseq2,celseq2,2
celseq2_D31.3_90,D31,alpha,human,celseq2,celseq2,6
celseq2_D31.3_91,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.3_92,D31,beta,human,celseq2,celseq2,3
celseq2_D31.3_94,D31,alpha,human,celseq2,celseq2,4
celseq2_D31.4_1,D31,alpha,human,celseq2,celseq2,6
